DATE,REVENUE,COGS,FORECASTED_REVENUE,Product_id,Region_id
2022-11-09 15:07:24.446047,1175.18,2045.42,2438.94,3,1
2022-11-10 15:07:24.446047,4297.86,1199.4,2894.6,5,2
2022-11-11 15:07:24.446047,4755.99,1202.93,1353.3,3,2
2022-11-12 15:07:24.446047,1176.32,1674.98,1058.28,5,1
2022-11-13 15:07:24.446047,1412.53,2432.39,1441.12,2,5
2022-11-14 15:07:24.446047,4653.44,2419.45,2181.76,3,1
2022-11-15 15:07:24.446047,3385.57,1653.45,3536.51,1,3
2022-11-16 15:07:24.446047,3489.51,1200.87,2748.58,1,1
2022-11-17 15:07:24.446047,4734.41,692.09,2876.79,3,1
2022-11-18 15:07:24.446047,1305.33,1533.04,3517.52,2,5
2022-11-19 15:07:24.446047,2356.25,713.58,3094.35,3,4
2022-11-20 15:07:24.446047,2466.06,1463.66,2347.05,2,3
2022-11-21 15:07:24.446047,1934.23,2394.11,3087.85,4,1
2022-11-22 15:07:24.446047,3680.4,2342.05,1980.76,4,4
2022-11-23 15:07:24.446047,3891.97,1735.62,2747.61,3,2
2022-11-24 15:07:24.446047,2722.54,966.2,1019.33,3,1
2022-11-25 15:07:24.446047,2268.66,1706.78,1687.1,1,2
2022-11-26 15:07:24.446047,4354.66,2326.48,2029.44,5,3
2022-11-27 15:07:24.446047,2218.86,1072.16,4842.33,5,2
2022-11-28 15:07:24.446047,2828.34,1209.78,3555.96,4,1
2022-11-29 15:07:24.446047,4781.31,931.0,1804.33,5,4
2022-11-30 15:07:24.446047,1715.65,2186.19,1711.36,2,4
2022-12-01 15:07:24.446047,1746.3,969.68,2798.32,3,3
2022-12-02 15:07:24.446047,1773.94,1571.14,4441.52,5,1
2022-12-03 15:07:24.446047,4944.43,834.07,3754.24,1,5
2022-12-04 15:07:24.446047,1635.44,1558.99,3183.0,2,5
2022-12-05 15:07:24.446047,2157.19,1325.89,4557.55,3,1
2022-12-06 15:07:24.446047,3931.16,1148.52,2996.55,5,3
2022-12-07 15:07:24.446047,3853.41,846.72,2416.41,2,4
2022-12-08 15:07:24.446047,2309.8,2319.12,4494.64,4,4
2022-12-09 15:07:24.446047,3980.11,1243.61,1630.71,2,1
2022-12-10 15:07:24.446047,2088.46,502.68,3967.6,5,4
2022-12-11 15:07:24.446047,2224.36,1383.44,4005.94,2,3
2022-12-12 15:07:24.446047,3969.44,820.3,2272.54,1,2
2022-12-13 15:07:24.446047,3448.51,1600.23,3599.21,2,2
2022-12-14 15:07:24.446047,3931.47,589.45,2848.8,3,5
2022-12-15 15:07:24.446047,3900.26,1957.26,4255.63,5,2
2022-12-16 15:07:24.446047,2975.88,821.93,3648.44,1,3
2022-12-17 15:07:24.446047,3855.59,973.95,1395.99,1,1
2022-12-18 15:07:24.446047,3955.82,508.17,2746.52,5,2
2022-12-19 15:07:24.446047,4433.7,1073.17,2478.01,3,2
2022-12-20 15:07:24.446047,4568.64,1052.12,3442.02,2,5
2022-12-21 15:07:24.446047,4928.93,1717.26,2443.85,1,3
2022-12-22 15:07:24.446047,2990.33,736.98,3068.86,4,4
2022-12-23 15:07:24.446047,1064.14,1302.4,4049.22,3,1
2022-12-24 15:07:24.446047,2644.06,1692.18,2712.66,1,3
2022-12-25 15:07:24.446047,3262.08,1584.3,1863.68,1,1
2022-12-26 15:07:24.446047,2694.49,1556.28,2644.05,3,1
2022-12-27 15:07:24.446047,2908.05,729.52,3130.99,3,4
2022-12-28 15:07:24.446047,1882.1,934.86,3273.71,3,2
2022-12-29 15:07:24.446047,1583.68,1511.59,1918.28,2,5
2022-12-30 15:07:24.446047,4463.94,663.73,2611.04,4,4
2022-12-31 15:07:24.446047,4974.14,1860.56,2182.46,1,5
2023-01-01 15:07:24.446047,3779.22,559.59,1319.68,5,2
2023-01-02 15:07:24.446047,3500.31,1847.99,4014.95,5,5
2023-01-03 15:07:24.446047,4893.4,1751.02,2638.56,1,4
2023-01-04 15:07:24.446047,2559.07,901.25,4501.61,4,4
2023-01-05 15:07:24.446047,3107.15,2060.72,1997.58,3,1
2023-01-06 15:07:24.446047,3617.48,1291.94,4092.35,2,3
2023-01-07 15:07:24.446047,3318.89,2194.65,2527.87,4,1
2023-01-08 15:07:24.446047,1141.0,1096.37,1658.05,3,3
2023-01-09 15:07:24.446047,1749.01,1578.89,3261.98,3,3
2023-01-10 15:07:24.446047,3790.99,1526.3,2159.6,1,2
2023-01-11 15:07:24.446047,4680.53,946.83,3693.19,3,1
2023-01-12 15:07:24.446047,2595.54,987.5,3776.28,5,5
2023-01-13 15:07:24.446047,3949.87,2063.32,2303.38,3,3
2023-01-14 15:07:24.446047,4012.72,529.05,3374.93,2,4
2023-01-15 15:07:24.446047,2140.93,568.87,1217.49,4,3
2023-01-16 15:07:24.446047,1535.87,2334.31,2317.17,3,4
2023-01-17 15:07:24.446047,4734.26,2494.18,1566.96,2,4
2023-01-18 15:07:24.446047,3641.24,653.54,4598.84,1,4
2023-01-19 15:07:24.446047,2169.45,905.03,2009.29,1,4
2023-01-20 15:07:24.446047,1948.04,2490.21,2907.36,2,2
2023-01-21 15:07:24.446047,4820.31,725.59,2462.64,5,4
2023-01-22 15:07:24.446047,3669.46,2128.76,3170.06,1,5
2023-01-23 15:07:24.446047,2661.22,1033.46,2720.16,5,2
2023-01-24 15:07:24.446047,4760.29,1954.56,3960.39,1,3
2023-01-25 15:07:24.446047,2904.12,1490.99,2654.93,3,4
2023-01-26 15:07:24.446047,2238.13,797.21,1028.2,2,4
2023-01-27 15:07:24.446047,4691.33,1103.09,3569.37,5,4
2023-01-28 15:07:24.446047,2670.71,944.52,2049.13,3,3
2023-01-29 15:07:24.446047,4228.3,2364.14,1478.76,3,1
2023-01-30 15:07:24.446047,1781.72,1082.74,1460.27,3,4
2023-01-31 15:07:24.446047,1657.55,621.7,4283.32,1,4
2023-02-01 15:07:24.446047,1224.19,510.5,1714.11,5,5
2023-02-02 15:07:24.446047,2950.37,1487.06,1868.0,5,2
2023-02-03 15:07:24.446047,3180.09,552.74,3218.68,1,1
2023-02-04 15:07:24.446047,4485.42,1432.21,4645.25,2,2
2023-02-05 15:07:24.446047,1029.77,2154.72,1199.51,5,4
2023-02-06 15:07:24.446047,2770.64,814.41,2199.01,5,2
2023-02-07 15:07:24.446047,2739.76,915.02,3134.87,4,2
2023-02-08 15:07:24.446047,1506.98,2236.29,1056.01,3,1
2023-02-09 15:07:24.446047,3754.11,1619.78,1625.31,5,1
2023-02-10 15:07:24.446047,4953.93,1814.7,4016.1,2,1
2023-02-11 15:07:24.446047,3157.73,1497.12,2630.41,5,4
2023-02-12 15:07:24.446047,3288.69,2359.33,1741.97,5,2
2023-02-13 15:07:24.446047,2295.69,951.92,3821.0,1,2
2023-02-14 15:07:24.446047,4079.68,1612.36,2825.5,5,5
2023-02-15 15:07:24.446047,3008.02,1280.34,4670.0,5,5
2023-02-16 15:07:24.446047,1236.36,2382.12,2992.42,5,4
2023-02-17 15:07:24.446047,2750.63,1632.31,4381.85,3,4
2023-02-18 15:07:24.446047,4051.91,1056.82,2055.43,3,4
2023-02-19 15:07:24.446047,4933.42,1709.79,4597.03,1,3
2023-02-20 15:07:24.446047,4618.14,2258.32,1958.1,1,2
2023-02-21 15:07:24.446047,1790.34,1417.02,2356.59,3,4
2023-02-22 15:07:24.446047,2802.98,616.62,3743.19,2,5
2023-02-23 15:07:24.446047,1712.45,2455.68,2011.24,1,3
2023-02-24 15:07:24.446047,2760.22,1960.39,1263.27,3,1
2023-02-25 15:07:24.446047,4200.83,763.44,4850.88,2,4
2023-02-26 15:07:24.446047,1717.92,1950.19,2165.22,2,1
2023-02-27 15:07:24.446047,4669.14,2052.83,4398.63,2,2
2023-02-28 15:07:24.446047,4538.42,2414.79,4487.14,4,4
2023-03-01 15:07:24.446047,3601.18,2009.88,4948.95,4,5
